2020-07-21,优,37,174,25,36,4,25,0.60,62
2020-07-22,优,41,227,26,35,4,29,0.71,51
2020-07-23,优,40,224,26,40,4,37,0.80,39
2020-07-24,优,37,155,23,37,5,31,0.82,38
2020-07-25,优,16,9,9,14,4,22,0.63,20
2020-07-26,优,38,179,15,42,4,33,0.66,62
2020-07-27,良,81,359,32,87,6,46,0.73,99
2020-07-28,良,82,357,39,93,7,38,0.61,113
2020-07-29,优,39,185,23,42,5,27,0.54,73
2020-07-30,优,25,71,15,23,4,16,0.48,63
2020-07-31,优,22,50,11,19,3,16,0.57,41
2020-08-01,优,29,136,17,27,4,23,0.68,48
2020-08-02,良,52,348,24,42,4,30,0.80,73
2020-08-03,优,40,247,22,38,4,34,0.73,55
2020-08-04,优,47,328,26,47,5,33,0.71,63
2020-08-05,优,48,325,23,45,5,22,0.67,93
2020-08-06,良,57,360,34,55,6,22,0.71,95
2020-08-07,优,43,324,28,40,4,25,0.68,77
2020-08-08,优,42,295,23,36,5,25,0.68,84
2020-08-09,良,57,336,22,42,4,25,0.62,113
2020-08-10,良,59,339,30,52,4,31,0.69,96
2020-08-11,优,33,175,19,31,4,25,0.67,56
2020-08-12,优,18,37,8,12,4,14,0.58,47
2020-08-13,优,23,112,11,18,4,19,0.50,48
2020-08-14,优,31,210,18,25,4,27,0.61,45
2020-08-15,优,22,80,13,18,4,17,0.54,34
2020-08-16,优,16,31,4,5,4,10,0.43,49
2020-08-17,优,22,57,11,16,4,13,0.49,46
2020-08-18,优,23,74,7,12,4,18,0.46,71
2020-08-19,优,43,277,28,43,5,35,0.65,59
2020-08-20,良,66,355,40,62,5,42,0.78,78
2020-08-21,良,54,342,35,57,4,43,0.81,69
2020-08-22,良,54,325,39,57,6,34,0.72,43
2020-08-23,优,38,172,25,35,4,21,0.63,51
2020-08-24,优,27,78,5,12,4,20,0.43,79
2020-08-25,良,56,321,23,45,6,45,0.67,77
2020-08-26,良,66,343,31,58,6,46,0.77,87
2020-08-27,良,73,352,35,62,6,47,0.75,106
2020-08-28,良,85,361,53,82,8,43,0.80,107
2020-08-29,优,50,218,21,33,4,27,0.62,108
2020-08-30,优,37,148,25,36,5,20,0.61,74
2020-08-31,优,23,64,12,20,4,23,0.56,50
2020-09-01,优,45,219,29,47,6,33,0.70,47
2020-09-02,优,45,203,23,39,5,37,0.68,64
2020-09-03,良,55,264,30,62,7,50,0.69,54
2020-09-04,良,63,298,40,73,5,47,0.75,69
2020-09-05,良,73,336,52,84,6,48,0.83,48
2020-09-06,优,39,107,19,32,5,29,0.57,77
2020-09-07,良,51,201,27,48,6,40,0.62,73
2020-09-08,良,54,236,36,58,6,42,0.68,71
2020-09-09,优,50,224,35,50,4,32,0.68,52
2020-09-10,优,40,208,21,32,5,27,0.64,65
2020-09-11,优,50,324,29,54,6,41,0.78,34
2020-09-12,优,29,119,19,27,4,21,0.62,49
2020-09-13,优,30,112,20,28,5,18,0.60,59
2020-09-14,优,23,64,13,21,4,20,0.64,55
2020-09-15,优,38,234,22,38,5,37,0.77,39
2020-09-16,优,36,203,22,39,4,28,0.76,35
2020-09-17,优,32,190,13,28,4,28,0.56,56
2020-09-18,优,43,261,21,42,5,38,0.63,59
2020-09-19,优,50,259,31,54,6,38,0.70,51
2020-09-20,优,36,193,24,35,4,23,0.65,54
2020-09-21,优,27,127,16,26,5,24,0.61,24
2020-09-22,优,29,142,15,27,5,34,0.73,30
2020-09-23,优,34,171,16,33,5,33,0.74,51
2020-09-24,优,41,182,24,42,6,27,0.72,42
2020-09-25,优,21,40,14,21,5,22,0.66,35
2020-09-26,优,26,75,16,26,5,28,0.65,29
2020-09-27,优,23,53,15,21,4,31,0.76,27
2020-09-28,优,40,182,27,39,5,31,0.74,29
2020-09-29,优,40,204,23,36,5,38,0.83,44
2020-09-30,优,42,199,23,43,5,33,0.83,40
2020-11-01,良,72,279,46,95,7,57,1.00,6
2020-11-02,良,80,309,55,106,8,56,0.90,15
2020-11-03,良,55,209,35,65,5,37,0.64,32
2020-11-04,良,52,152,36,56,4,29,0.52,32
2020-11-05,良,69,219,50,71,5,41,0.68,24
2020-11-06,良,72,208,51,82,6,53,0.99,17
2020-11-07,良,74,207,53,93,7,64,1.22,33
2020-11-08,良,89,316,66,104,7,63,1.02,34
2020-11-09,轻度污染,118,358,89,120,6,56,0.93,39
2020-11-10,轻度污染,134,359,102,147,7,72,1.12,23
2020-11-11,轻度污染,123,351,94,127,10,48,0.79,37
2020-11-12,轻度污染,118,340,89,122,12,58,0.95,31
2020-11-13,良,90,289,66,108,13,64,0.80,18
2020-11-14,轻度污染,101,300,76,118,12,65,0.92,28
2020-11-15,轻度污染,120,318,91,138,12,63,0.85,29
2020-11-16,轻度污染,135,326,103,154,12,67,0.90,25
2020-11-17,轻度污染,124,336,94,134,13,59,0.83,36
2020-11-18,良,63,324,41,72,6,57,0.75,24
2020-11-19,良,68,339,43,86,6,55,0.72,39
2020-11-20,良,77,353,51,105,9,62,0.78,25
2020-11-21,优,40,217,24,42,5,30,0.54,27
2020-11-22,优,28,134,16,28,4,21,0.35,44
2020-11-23,优,23,56,14,23,4,26,0.40,32
2020-11-24,优,48,193,31,51,5,38,0.59,6
2020-11-25,优,44,163,30,44,5,38,0.63,10
2020-11-26,良,54,206,35,58,6,45,0.81,11
2020-11-27,良,62,247,43,70,7,43,0.80,7
2020-11-28,优,50,206,33,53,6,40,0.69,18
2020-11-29,良,68,248,49,71,5,45,0.84,9
2020-11-30,良,87,276,64,90,5,44,0.87,11
2020-12-01,优,49,131,34,43,4,36,0.78,13
2020-12-02,良,58,193,41,56,5,37,0.78,9
2020-12-03,优,50,195,35,44,4,31,0.85,19
2020-12-04,优,33,74,23,29,4,31,0.86,8
2020-12-05,优,46,105,32,45,4,31,0.80,8
2020-12-06,良,70,185,51,70,5,38,0.85,12
2020-12-07,良,53,127,36,59,5,42,0.90,10
2020-12-08,良,54,135,38,55,5,42,0.91,13
2020-12-09,良,68,197,49,73,7,46,0.77,6
2020-12-10,良,71,159,51,77,6,45,0.85,9
2020-12-11,良,70,164,50,86,6,52,0.85,11
2020-12-12,良,100,238,74,129,9,57,0.92,9
2020-12-13,良,98,274,73,116,7,47,0.85,13
2020-12-14,优,29,96,19,28,4,23,0.44,39
2020-12-15,优,46,192,32,44,4,30,0.54,19
